created_at,entry_id,field1,latitude,longitude,elevation,status
2019-11-22 16:56:07 UTC,1,-69,,,,
2019-11-22 16:56:28 UTC,2,-64,,,,
2019-11-22 16:56:48 UTC,3,-51,,,,
2019-11-22 16:57:08 UTC,4,-52,,,,
2019-11-22 16:57:28 UTC,5,-66,,,,
2019-11-22 16:57:49 UTC,6,-63,,,,
2019-11-22 16:58:09 UTC,7,-59,,,,
2019-11-22 16:59:00 UTC,8,-54,,,,
2019-11-22 16:59:21 UTC,9,-50,,,,
2019-11-22 17:00:03 UTC,10,-52,,,,
2019-11-22 17:00:23 UTC,11,-49,,,,
2019-11-22 17:00:44 UTC,12,-54,,,,
2019-11-22 17:01:04 UTC,13,-51,,,,
2019-11-22 17:01:25 UTC,14,-51,,,,
2019-11-22 17:02:06 UTC,15,-38,,,,
2019-11-22 17:02:27 UTC,16,-38,,,,
2019-11-22 17:02:47 UTC,17,-61,,,,
2019-11-22 17:03:07 UTC,18,-66,,,,
2019-11-22 17:04:10 UTC,19,-66,,,,
2019-11-22 17:04:30 UTC,20,-69,,,,
2019-11-22 17:04:51 UTC,21,-70,,,,
2019-11-22 17:05:12 UTC,22,-72,,,,